Pozo;Ubicación/Calle/Dirección;Asignación;Dias y Hora Servicio
POZO_PILAR_PI102;Calle Henry Martin y Bahía Darbel - Derqui;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_JOSE C. PAZ_JC003;Av. Derqui 5300 1740 - Cuartel V - José C. Paz;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI103;Calle Cerrito e Isla Soledad - Derqui;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_SAN MIGUEL_MI015;Cnel. Fraga 2300 e/Int. J. Irigoin y Marcos Sastre - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI016;Cnel. M. Fraga e/Salerno y Tomas Edison - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI101;Ruta 234 y Bahía Darbel - Derqui;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_SAN MIGUEL_MI026;T. Guido 5301 e/La Pinta - José C. Paz;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI036;Cnel. M. Fraga 3400 e/Marconi - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MALVINAS ARG_MA004;Asamblea 1800 e/11 de Septiembre - Grand Bourg;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MALVINAS ARG_MA006;Viena e/Canning - Tortuguitas;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MALVINAS ARG_MA003;ALMIRANTE_BROWN 2500 e/Viena y Rep. Argentina - Tortuguitas;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI014;Las Araucarias y M. Acosta - Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_PILAR_PI070;Paraguay 201 esquina Tierra del Fuego. Pte. Derqui. - Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_PILAR_PI066;calle  sin n° e/ Haiti y Santo Domingo - Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_01;Av. Paseo Victoria 600 (y M. V. de Martínez), Tigre;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_02;Oliveira Cesar 300 y Maestro Brid, Tigre;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_03;Sargento Díaz 201 (Esq. José Manuel Estrada), Tigre;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_05;Av. 25 de Mayo y Liniers (S/margen río Reconquista), Tigre;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_06;Paso e Italia, Tigre;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_28;Bajada Lanusse en Gral. Arias 2504, Victoria, San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_31;Del Arca en del Arca 30 (a metros del Río Luján), San Fernando, San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_34;Sucre en Av. Sucre y Colectora Acceso Norte, Boulogne Sur Mer, San Isidro;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_35;Beiró en Av. Sucre 660 (F. Beiró y Valentín Vergara), Boulogne Sur Mer, San Isidro;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_30;Complemento San Fernando en Rastreador Fournier 1875, Virreyes, San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_27;Uruguay 6650 (a metros de la rotonda), Boulogne Sur Mer, San Isidro;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_33;Tomkinson II en Av. Juan Fernández 1318 (Esq. Tomkinson);Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_20;Boulogne Chico en Av. Fondo de la Legua 2444, Martínez, San Isidro;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_32;Tres Horquetas en Maipu 4599 y Rastreador Founier, Virreyes, San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_10;Quirno Costa 835 (Esq. Gral Arias al 600), San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_29;Punta Chica en Ricardo Rojas 76, Victoria, San Fernando;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
