Motivo;Sitio;Asignación;Dias y Hora Servicio
ALARMA;165 Estación de Bombeo Cloacal Tupungato - 1° de Agosto al 7100 entre las calles Chascomus y Río Paraná - San Martín - Jose Leon Suarez;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;169 Estación de Bombeo Cloacal ZO02 Barker - Barker 1111 e./ Ecuador y Soldado Toledo - Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;172 Tanque La Perlita - Gutiérrez 5600, e/Costa Rica y La Plata - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;173 Tanque Trujuy - Tablada 10415, e/Oribe y Giacomo Puccini - Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;175 Cisterna Lincoln - Lincoln 1650, e/ Entre Ríos y Necochea - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;178 Estación de Bombeo Cloacal 1 - Vidt y Viedma - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;179 Estación de Bombeo Cloacal 2 - Campichuelo y Cipolletti - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;180 Estación de Bombeo Cloacal 3 - Av. Argentina y Castelli - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;181 Estación de Bombeo Cloacal 4 - Calle s/n a 250 mts de RP 21 y Colombia - Merlo;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;182 Estación de Bombeo Cloacal 5 - Obarrio y Tuyutí  - Merlo;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;183 Estación de Bombeo Cloacal 6 - Tuyutí y Blanco Ibáñez - Merlo;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;184 Cisterna Parque San Martín - 12 de Febrero e./  del Valle y Fleming - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;187 Tanque Loma Grande - Bulnes e./ Esnaola y Boyacá - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;189 Tanque Barrio Arco Iris - Dalton y Martí - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
RECORRIDO;190 Tanque Barrio Covipol - Comisario Etcheverry e Inspector Rossi - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
RECORRIDO;191 Predio Hurlingham / Ituzaingó - Av. Pdte. Perón N° 6401 e./ calles J. de Ibáñez y Profesor Domingo Castagna - Villa Tesei – Hurlingham;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;194 Estación de Bombeo Cloacal  Barrio Aeronautico - Teniente Albarracin 2960 y esq. Coronel Pringles- Ituzaingo ;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;195 Planta de Ionización Guatambú - Guatambú 900 esq. Pino -  Almte. Brown;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA;196 Planta de Intercambio Iónico LO-072 - Timbó 160 ;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA;197 Planta de Intercambio Iónico EE-13 - Reconquista e./ Rosas y Favaloro;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;198 Planta de Intercambio Iónico LO-0135 - Macedonio Rodriguez e./ El Cairo y Matienzo - Almirante Brown;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA;201 Estación de Bombeo Cloacal Turdera II - Santa María 900 y Vicente Fidel López - Turdera;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
ALARMA;202 Estación de Bombeo Cloacal U11 - Raul Ricardo Alfonsín y Juan Carlos Cruz -Vicente López;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;203 Estación de Bombeo Cloacal Boulogne Oeste - Luis Piedra Buena 1160 - Villa Adelina;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;204 Estación de Bombeo Cloacal Calzada II - Martín Arín 84 e./ Frías y 30 de Septiembre;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
